full_name,age,state,hours_worked_in_2021,consultant_type
Nicholas Smith,47,CA,1883,Senior Software Engineer
Joel Davis,50,WA,1877,Technical Lead
Scott Norton,31,WA,1875,Technical Lead
Chad Robinson,50,NY,1868,Software Engineer
Ryan Glenn,50,FL,1907,Senior Software Engineer
Patrick Lewis,48,FL,1866,Technical Lead
Richard Huang,48,CA,1852,Technical Lead
Valerie Estrada,42,WA,1878,Senior Software Engineer
William Hill,52,CA,1889,Technical Architect
Charles Mendez,38,WA,1873,Technical Lead
Nancy Hill,38,WA,1892,Software Engineer
Daniel Adkins,44,FL,1892,Technical Lead
Francisco Harris,39,CA,1901,Senior Software Engineer
Mary Benton,44,NY,1871,Technical Lead
Nicholas Ortega,45,WA,1884,Senior Software Engineer
Richard Tran,45,WA,1893,Software Engineer
William Nelson,32,WA,1879,Software Engineer
William Lyons,44,NY,1875,Technical Lead
Joseph Cameron,50,FL,1879,Technical Lead
Karen Ross,51,NY,1864,Software Engineer
Anna Phelps,45,WA,1897,Technical Lead
Alice Dawson,38,WA,1878,Technical Lead
Ann Thomas,51,WA,1889,Technical Architect
Lauren Mathis,49,WA,1872,Senior Software Engineer
Jacob Houston,38,WA,1867,Technical Architect
John Williams,43,WA,1866,Senior Software Engineer
Andrew Adams,45,WA,1874,Technical Lead
Kristin Smith,49,CA,1879,Technical Architect
Leslie Johnson,50,NY,1870,Technical Architect
Michael Rogers,54,NY,1854,Software Engineer
John Lam,45,CA,1873,Senior Software Engineer
Joseph Richards,47,NY,1883,Software Engineer
Lisa Moore,34,FL,1883,Senior Software Engineer
Lindsey Ware,41,NY,1878,Technical Lead
Alyssa Austin,50,CA,1895,Senior Software Engineer
Ryan Mann,45,NY,1878,Senior Software Engineer
Mary Hogan,39,WA,1887,Technical Architect
Mary Chapman,41,NY,1895,Technical Lead
Steven Hensley,48,WA,1886,Technical Architect
Melissa Jones,47,WA,1895,Technical Lead
Anthony Wilson,45,FL,1873,Technical Lead
Christopher Garcia,43,CA,1868,Technical Architect
Gloria Johnson,48,WA,1885,Software Engineer
Eric Howard,43,CA,1871,Senior Software Engineer
Melanie Travis,40,WA,1867,Technical Lead
Trevor Drake,39,NY,1871,Technical Lead
Melanie Hodge,49,WA,1884,Software Engineer
John Lester,41,NY,1889,Technical Architect
William Li,50,FL,1896,Senior Software Engineer
Mario Knight,39,WA,1873,Technical Lead
Amber Harrison,50,WA,1885,Technical Lead
Mike Jennings,37,WA,1875,Senior Software Engineer
Jeremy Jones,43,WA,1859,Technical Architect
April Gardner,54,WA,1879,Software Engineer
Grace Armstrong,47,WA,1856,Technical Lead
Stacey Sanchez,51,FL,1883,Technical Lead
Hunter Fields,45,CA,1888,Senior Software Engineer
Phillip Sawyer,51,FL,1878,Software Engineer
Virginia Hood,54,NY,1894,Software Engineer
Stephanie Singh,38,CA,1874,Technical Lead
Alexis Stewart,43,WA,1872,Senior Software Engineer
Ernest George,37,CA,1889,Technical Lead
Alexandra Riley,47,FL,1884,Technical Lead
Kelly Page,53,FL,1889,Technical Lead
Kyle Tucker,47,FL,1867,Technical Architect
Michael Turner,43,NY,1878,Technical Lead
Emily Key,50,WA,1881,Technical Lead
Joshua Allen,43,WA,1866,Senior Software Engineer
Mario Wolf,34,WA,1891,Technical Lead
Toni Jones,41,FL,1903,Senior Software Engineer
Christina Graves,36,NY,1895,Technical Lead
Jimmy Lin,53,WA,1859,Technical Lead
Derrick Campbell,49,FL,1881,Technical Lead
Brian Baker,48,FL,1876,Technical Lead
Joseph Reyes,48,WA,1869,Software Engineer
Randy Mcdaniel,47,FL,1867,Software Engineer
Debra Holland,43,WA,1891,Technical Lead
April Robbins,45,WA,1858,Technical Lead
Stephen Estrada,37,NY,1874,Technical Lead
Nathan Cox,37,WA,1865,Technical Lead
Amy Little,46,FL,1878,Technical Lead
Catherine Farrell,53,NY,1880,Technical Lead
Joshua Blair,43,FL,1881,Senior Software Engineer
Thomas Chavez,37,CA,1886,Technical Lead
Angela Smith,47,WA,1888,Technical Architect
Gary Cervantes,46,WA,1862,Software Engineer
David Davis,46,NY,1891,Technical Lead
Rick Hernandez,45,NY,1901,Software Engineer
Jessica Burke,54,WA,1894,Technical Lead
Joshua Jones,43,WA,1862,Technical Lead
Douglas Chandler,40,FL,1889,Senior Software Engineer
Denise Hess,43,FL,1875,Technical Lead
Pamela Davis,45,WA,1878,Software Engineer
Margaret Perez,43,WA,1897,Software Engineer
John Jones,41,WA,1879,Technical Lead
James Berg,45,WA,1886,Technical Lead
Richard Hampton,41,CA,1901,Senior Software Engineer
Timothy Jones,51,WA,1893,Technical Lead
Kyle Mack,36,CA,1876,Technical Lead
Christopher Serrano,40,CA,1884,Senior Software Engineer
Jacqueline Allen,50,WA,1897,Senior Software Engineer
Dana Jordan,51,NY,1878,Technical Architect
Ian Garcia,51,FL,1899,Senior Software Engineer
Sarah Bond,49,NY,1872,Senior Software Engineer
Christina Schneider,43,NY,1865,Technical Lead
Amy Mcdonald,46,CA,1872,Senior Software Engineer
William Taylor,42,WA,1890,Technical Lead
Carrie Smith,45,WA,1876,Technical Lead
Jeffrey Mckenzie,37,NY,1873,Technical Lead
Kristina Perkins,48,MT,1876,Technical Lead
Stephanie Garrett,47,CA,1867,Senior Software Engineer
Madison Anderson,42,NY,1881,Technical Lead
Brent Hardy,45,WA,1884,Technical Lead
John Gonzalez,43,CA,1893,Technical Lead
Juan Rodriguez,42,WA,1886,Technical Lead
Candace Kemp,43,CA,1860,Technical Lead
Brandy Wyatt,49,FL,1892,Technical Architect
Joshua Richmond,45,FL,1869,Software Engineer
Jocelyn Woods,51,CA,1894,Technical Architect
Karen Smith,43,FL,1907,Senior Software Engineer
Frederick Murphy,43,FL,1904,Senior Software Engineer
Kristen Bradley,49,FL,1869,Software Engineer
Amber Murphy,42,NY,1895,Technical Architect
Alyssa Saunders,49,CA,1888,Software Engineer
